joinhist,joinhist-time
90373.0,0.00015544891357421875
34773.0,9.822845458984375e-05
79851.0,7.534027099609375e-05
171470.0,7.414817810058594e-05
277348.0,6.985664367675781e-05
311506.28875758604,9.679794311523438e-05
433256.9057615726,5.4836273193359375e-05
2322414.9319643322,5.3882598876953125e-05
2818285.816541074,5.054473876953125e-05
171621.28798098708,5.9604644775390625e-05
1015304.2771420339,5.7220458984375e-05
1034835.5249827515,5.793571472167969e-05
1007111.0730773007,5.555152893066406e-05
1440636.5592826083,5.14984130859375e-05
8239216.623864278,5.53131103515625e-05
11102.0,5.2928924560546875e-05
174304.0,5.53131103515625e-05
303184.0,5.078315734863281e-05
328027.0,4.982948303222656e-05
36431.499804540596,4.9591064453125e-05
36944.8635697482,4.887580871582031e-05
43290.62462000483,4.8160552978515625e-05
576520.9421281511,4.839897155761719e-05
724501.6923173651,5.53131103515625e-05
1064758.5660850033,4.6253204345703125e-05
11098.0,5.364418029785156e-05
174304.0,4.982948303222656e-05
303184.0,4.9591064453125e-05
328027.0,4.887580871582031e-05
35919.43989140111,4.9591064453125e-05
35949.27649354657,4.9114227294921875e-05
63136.995158280064,5.6743621826171875e-05
576520.9421281511,4.887580871582031e-05
724501.6923173651,4.863739013671875e-05
1064758.5660850033,4.839897155761719e-05
