joinhist,joinhist-time
8662770.505510567,0.00020456314086914062
21077123.63245347,0.00010633468627929688
80250195.05831571,8.845329284667969e-05
24280442.793696746,8.96453857421875e-05
87907886.12279831,7.843971252441406e-05
21926534.636252657,8.678436279296875e-05
,
2509059.004468255,7.343292236328125e-05
9061273.988285923,7.224082946777344e-05
24820629.347876884,6.985664367675781e-05
232942878.75335595,6.699562072753906e-05
947555714.0142539,6.628036499023438e-05
249524655.4439217,6.461143493652344e-05
2516516433.644265,6.580352783203125e-05
235001433.1606726,6.4849853515625e-05
2970342748.995644,6.461143493652344e-05
121504.12992767052,6.532669067382812e-05
141519.47779252622,6.532669067382812e-05
142823.12183613045,7.224082946777344e-05
2365387.802312811,6.866455078125e-05
468287.93177566514,6.604194641113281e-05
116785.60363991518,7.033348083496094e-05
199336.49741704122,6.341934204101562e-05
198605.05840921274,6.175041198730469e-05
2365387.802312811,6.0558319091796875e-05
630221.6124746583,8.249282836914062e-05
