truth,truth-time-postgres
79851,0.01248788833618164
10220614,0.2398390769958496
1458075,0.054703474044799805
1709781,0.05896925926208496
7491903,0.16347050666809082
428612,0.040360212326049805
55900138,1.2401275634765625
10972,0.011022567749023438
699302,0.03836226463317871
36337035,0.6614978313446045
9405,0.008823394775390625
481420,0.0333254337310791
173407,0.019910335540771484
704085,0.06671285629272461
303005,0.02542734146118164
698213,0.06077170372009277
780683,0.03335285186767578
169446,0.015305757522583008
11630,0.0077533721923828125
780683,0.03246140480041504
1227386,0.04459714889526367
53564,0.01256418228149414
32260,0.010838031768798828
326559,0.027120590209960938
263105194,5.674393892288208
49655,0.012527227401733398
126748,0.016349077224731445
1018612,0.05281949043273926
10984892,0.23282146453857422
64566,0.013059616088867188
23267,0.005021095275878906
315516,0.019775867462158203
447953,0.19003582000732422
20126,0.011950969696044922
40,0.010068655014038086
200,0.008619308471679688
10223864,0.2244884967803955
132504,0.01391148567199707
79610,0.011013507843017578
10223864,0.21876978874206543
10234398,0.222731351852417
45485,0.013034582138061523
55035,0.010704755783081055
245567,0.0265350341796875
596,0.019308090209960938
2734033,0.04458928108215332
70752,0.007137298583984375
11091,0.007853984832763672
302620,0.025109052658081055
63543,0.013484716415405273
63500,0.02458047866821289
11050,0.008615255355834961
90414,0.012637138366699219
10895,0.012835025787353516
291926,0.024950265884399414
69617,0.012653350830078125
251068,0.03791451454162598
288438,0.04248690605163574
31965,0.012019634246826172
26836,0.02640366554260254
2704241,0.04353761672973633
32918,0.005308389663696289
86112,0.013185501098632812
2488080,0.041936397552490234
1056687,0.06172800064086914
20334,0.005028724670410156
62294,0.009508848190307617
144017,0.014700889587402344
29072,0.01436161994934082
433,0.008892059326171875
62294,0.00925898551940918
4582,0.013659954071044922
173065,0.019466161727905273
35157,0.011324167251586914
670344,0.07932019233703613
11077,0.008438587188720703
261948,0.026674270629882812
45464,0.03526592254638672
35034,0.01811385154724121
670154,0.07433867454528809
176221,0.02668476104736328
45455,0.028913259506225586
176191,0.05753064155578613
170249,0.021368741989135742
32792,0.022328615188598633
11102,0.004459381103515625
77059,0.011692285537719727
32792,0.009407281875610352
142137,0.028558015823364258
8528,0.012295007705688477
25033,0.02231907844543457
36980622,0.7692775726318359
242937,0.04651474952697754
42543,0.012567520141601562
84481,0.020595788955688477
40496,0.011156797409057617
244,0.010191202163696289
272870860,34.330440044403076
256660,0.027747154235839844
2489,0.012215852737426758
1799,0.010088205337524414
42036,0.04006457328796387
289619,0.025081634521484375
3660301,0.09399199485778809
89863,0.012523651123046875
79851,0.009637594223022461
16049150,0.36563706398010254
284619,0.03826332092285156
3660301,0.1604604721069336
16049150,0.35402512550354004
